id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1207114171776733186,1207114171776733186,1576633420000,2019-12-18,07:13:40,IST,960681427217117185,commonsense316,CommonSense,,🤣🤣🤣🤣 https://twitter.com/KingJosiah54/status/1207047095552598016 …,[],['https://twitter.com/KingJosiah54/status/1207047095552598016'],[],0,0,0,[],[],https://twitter.com/CommonSense316/status/1207114171776733186,False,https://twitter.com/KingJosiah54/status/1207047095552598016,0,,,,,,,"[{'user_id': '960681427217117185', 'username': 'CommonSense316'}]",,,,
1200169517537738752,1200169517537738752,1574977685000,2019-11-29,03:18:05,IST,960681427217117185,commonsense316,CommonSense,,Buffaloe VS Cowboys this is going to be interesting!,[],[],[],0,0,0,[],[],https://twitter.com/CommonSense316/status/1200169517537738752,False,,0,,,,,,,"[{'user_id': '960681427217117185', 'username': 'CommonSense316'}]",,,,
1200097600004907013,1200097600004907013,1574960539000,2019-11-28,22:32:19,IST,960681427217117185,commonsense316,CommonSense,,To All On This Channel! Happy Thanksgiving 🍁🦃🍽...2 All Tweeters. Have A Blessed Day!,[],[],[],0,0,1,[],[],https://twitter.com/CommonSense316/status/1200097600004907013,False,,0,,,,,,,"[{'user_id': '960681427217117185', 'username': 'CommonSense316'}]",,,,
1199153249258999808,1199153249258999808,1574735388000,2019-11-26,07:59:48,IST,960681427217117185,commonsense316,CommonSense,,Awesome!!!! https://twitter.com/ValerieJarrett/status/1198965621880434688 …,[],['https://twitter.com/ValerieJarrett/status/1198965621880434688'],[],0,0,1,[],[],https://twitter.com/CommonSense316/status/1199153249258999808,False,https://twitter.com/ValerieJarrett/status/1198965621880434688,0,,,,,,,"[{'user_id': '960681427217117185', 'username': 'CommonSense316'}]",,,,
1199151144242679809,1198986019430789120,1574734886000,2019-11-26,07:51:26,IST,960681427217117185,commonsense316,CommonSense,,Just want to know how can a person convicted of a federal crime run for public office???? Thought if you are convicted you cannot hold a public office????,['minhtngo'],[],[],0,0,0,[],[],https://twitter.com/CommonSense316/status/1199151144242679809,False,,0,,,,,,,"[{'user_id': '960681427217117185', 'username': 'CommonSense316'}, {'user_id': '187429137', 'username': 'minhtngo'}]",,,,
1198408916037713920,1198352974000644097,1574557925000,2019-11-24,06:42:05,IST,960681427217117185,commonsense316,CommonSense,,Nice SCARE TACTIC RUDY but it’s not going to work!!! They already have the ANSWERS AND EVIDENCE it’s just when they are going to INDICT YOU!!!,['rudygiuliani'],[],[],0,0,0,[],[],https://twitter.com/CommonSense316/status/1198408916037713920,False,,0,,,,,,,"[{'user_id': '960681427217117185', 'username': 'CommonSense316'}, {'user_id': '770781940341288960', 'username': 'RudyGiuliani'}]",,,,
1195431096038674437,1195429555122659328,1573847957000,2019-11-16,01:29:17,IST,960681427217117185,commonsense316,CommonSense,,The DISGRACE is standing at the podium LYING because DT is scared weak and fake!!!!,"['dailycaller', 'realdonaldtrump']",[],[],0,1,1,[],[],https://twitter.com/CommonSense316/status/1195431096038674437,False,,0,,,,,,,"[{'user_id': '960681427217117185', 'username': 'CommonSense316'}, {'user_id': '39308549', 'username': 'DailyCaller'}, {'user_id': '25073877', 'username': 'realDonaldTrump'}]",,,,
1195393603264294912,1195393603264294912,1573839019000,2019-11-15,23:00:19,IST,960681427217117185,commonsense316,CommonSense,,RIP... God Bless https://twitter.com/NationalSheriff/status/1195377137202683904 …,[],['https://twitter.com/NationalSheriff/status/1195377137202683904'],[],0,0,0,[],[],https://twitter.com/CommonSense316/status/1195393603264294912,False,https://twitter.com/NationalSheriff/status/1195377137202683904,0,,,,,,,"[{'user_id': '960681427217117185', 'username': 'CommonSense316'}]",,,,
1195368656382943233,1195362078485307392,1573833071000,2019-11-15,21:21:11,IST,960681427217117185,commonsense316,CommonSense,,Both Hands!!!!,[],[],[],0,0,2,[],[],https://twitter.com/CommonSense316/status/1195368656382943233,False,,0,,,,,,,"[{'user_id': '960681427217117185', 'username': 'CommonSense316'}]",,,,
1195146694993829888,1194709384032608256,1573780151000,2019-11-15,06:39:11,IST,960681427217117185,commonsense316,CommonSense,,I always say you can’t make this stuff up.... clown 🤡 party all the way!!! Remember nobody takes a CLOWN Seriously!!,"['robinson_dc211', 'thedailyedge']",[],[],0,0,0,[],[],https://twitter.com/CommonSense316/status/1195146694993829888,False,,0,,,,,,,"[{'user_id': '960681427217117185', 'username': 'CommonSense316'}, {'user_id': '737257590', 'username': 'Robinson_DC211'}, {'user_id': '179732982', 'username': 'TheDailyEdge'}]",,,,
